feature_name,source
tag_newftc,Tag dummy variable
tag_nova coleção,Tag dummy variable
tag_novidades,Tag dummy variable
tag_novos,Tag dummy variable
tag_outletbsk33,Tag dummy variable
tag_outletgeral,Tag dummy variable
tag_outlethoodie,Tag dummy variable
tag_outletjacket,Tag dummy variable
tag_outletk100,Tag dummy variable
tag_outletk100&k200,Tag dummy variable
tag_outletk200,Tag dummy variable
tag_outletk230,Tag dummy variable
tag_outletk330&k230,Tag dummy variable
tag_outletkv100,Tag dummy variable
tag_outletkv200,Tag dummy variable
tag_outletsapatilhas,Tag dummy variable
tag_outletsl250,Tag dummy variable
tag_outletstc70,Tag dummy variable
tag_outletsweat,Tag dummy variable
tag_outlettshirt,Tag dummy variable
tag_outletvestuário,Tag dummy variable
tag_outletworkboot,Tag dummy variable
tag_pantsSS25,Tag dummy variable
tag_pantsss25,Tag dummy variable
tag_perfume,Tag dummy variable
tag_permamentehoodies,Tag dummy variable
tag_permamenteshorts,Tag dummy variable
tag_permanentehoodies,Tag dummy variable
tag_permanentejackets,Tag dummy variable
tag_permanentek100burel,Tag dummy variable
tag_permanentek100canvas,Tag dummy variable
tag_permanentek100cordura,Tag dummy variable
tag_permanentek200canvas,Tag dummy variable
tag_permanenteshorts,Tag dummy variable
tag_permanentesocks,Tag dummy variable
tag_permanentesweats,Tag dummy variable
tag_permanentet-shirts,Tag dummy variable
tag_permanentetrousers,Tag dummy variable
tag_permanenteworkwear,Tag dummy variable
tag_promosneakers,Tag dummy variable
tag_promoworkwear,Tag dummy variable
tag_s/saldo,Tag dummy variable
tag_saldos,Tag dummy variable
tag_saleaws,Tag dummy variable
tag_saleawv,Tag dummy variable
tag_saless24,Tag dummy variable
tag_saless24a,Tag dummy variable
tag_saless24s,Tag dummy variable
tag_sanjoxsurge,Tag dummy variable
tag_sapatilhasaw22,Tag dummy variable
tag_shirtsss25,Tag dummy variable
tag_shortsss25,Tag dummy variable
tag_skate,Tag dummy variable
tag_skateboarding,Tag dummy variable
tag_skatepermanente,Tag dummy variable
tag_sl250sale,Tag dummy variable
tag_solid+washed,Tag dummy variable
tag_solid20,Tag dummy variable
tag_ss22,Tag dummy variable
tag_ss23hoodies,Tag dummy variable
tag_ss23ssaldo,Tag dummy variable
tag_ss23sweats,Tag dummy variable
