tenant_id,properties,is_identified,created_at,updated_at,person_id_hex
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-17T22:19:53Z', 'shopify_updated_at': '2025-03-20T11:18:09Z', 'shopify_customer_id': 23103280316764, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-17 22:20:40.461625+00:00,2025-03-21 14:31:19.798031+00:00,3275536c706c376b46396566526c4c72446b6a4846567a32644130
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T21:38:57+01:00', 'shopify_updated_at': '2025-02-12T21:17:56Z', 'shopify_customer_id': 8472605426012, 'shopify_total_spent': '282.15', 'shopify_orders_count': 4, 'shopify_verified_email': True}",True,2025-02-11 13:54:05.243002+00:00,2025-02-14 14:44:37.534594+00:00,3273746b316b58414846354e706251364131367145566c69516c7a
sjstarcorp,"{'city': 'Alcabideche', 'in_eu': True, 'timezone': 'Europe/Lisbon', 'country_iso': 'PT', 'last_session_id': 'e2a7f52c-e651-44cd-b22c-9c3a5290b6c8', 'first_session_id': '4e748dd9-74f3-4f47-8160-fc3463508289', 'last_session_timestamp': '2025-03-29T16:56:58Z', 'first_session_timestamp': '2025-03-29T16:43:23Z'}",True,2025-03-29 16:48:54.287686+00:00,2025-03-29 17:01:55.561450+00:00,3276303079344b6a574d6776354b4f78417871377a4b5a57375534
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-11T15:12:21Z', 'shopify_updated_at': '2025-02-11T15:19:06Z', 'shopify_customer_id': 23026360811868, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-11 15:13:29.739134+00:00,2025-02-11 16:58:24.460577+00:00,3273747467556445315a4539317a6b4b5741657843386b5133316c
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-17T23:14:33Z', 'shopify_updated_at': '2025-03-28T09:45:48Z', 'shopify_customer_id': 23103331598684, 'shopify_total_spent': '77.50', 'shopify_orders_count': 2, 'shopify_verified_email': True}",True,2025-03-17 23:15:14.197581+00:00,2025-03-31 17:30:11.548634+00:00,3275537354354644504c4d3062386439386a3458717354436e537a
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-01T18:44:38Z', 'shopify_updated_at': '2025-03-01T18:44:41Z', 'shopify_customer_id': 23062020784476, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-01 18:44:42.433406+00:00,2025-03-05 18:43:55.285677+00:00,32746a3961714867614c43363651726f4a4571787961736a706b6a
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 23099794129244, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-16 12:09:39.151454+00:00,2025-03-16 12:09:40.333815+00:00,32754f6b4f7a42394331356f4766707135434c5970684a78694b76
sjstarcorp,"{'shopify_tags': 'EcomSend Popups, ES Popup Name: Welcome Sanjo, POPUP, shopify-forms-190352', 'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T17:34:57+01:00', 'shopify_updated_at': '2025-03-20T12:37:09Z', 'shopify_customer_id': 8470945890652, 'shopify_total_spent': '105.00', 'shopify_orders_count': 1, 'shopify_verified_email': True}",True,2025-03-18 10:54:27.649095+00:00,2025-03-20 16:20:08.880123+00:00,3275554656434b5756495667366a494a4470496d537a515a464f6c
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:14Z', 'shopify_updated_at': '2025-02-12T19:47:48Z', 'shopify_customer_id': 23029326512476, 'shopify_verified_email': True}",True,2025-02-12 19:47:52.813121+00:00,2025-02-12 19:47:52.965059+00:00,32737847417778457a3967496d4a79367138494e31546d626b6147
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:18Z', 'shopify_updated_at': '2025-02-12T19:48:17Z', 'shopify_customer_id': 23029327102300, 'shopify_verified_email': True}",True,2025-02-12 19:48:20.218561+00:00,2025-02-12 19:48:21.643838+00:00,3273784745547867645973697a674f665165706d466e6a75455871
