person_id_hex,is_identified,days_since_creation,days_since_last_update,shopify_state,shopify_currency,shopify_verified_email,shopify_account_age_days,city,country_iso,in_eu,timezone,days_since_last_session
327378475137435751493532764842496b77734156567351497448,1,49,34,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
32746a59484966675044467242376c70756e36416a7457486c4f46,1,32,28,disabled,EUR,1,32,Unknown,Unknown,0,Unknown,9999
3273784c6573434e6c6b444435396169414d594f646f7147304868,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784c663945626a4a4b4170496770677331756b75484a755450,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784a68554e55665575474e6741546f31533966354e57594f45,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784a6868527a42385972745a35586c30787270307357446e61,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784a68717764336f686e4e664858664f69734e313851674670,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847556470523569725367626934375166464d353057314943,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784756396d453457364f386542774765726145545737777262,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784755635757434b47337a435a6644786c774b43684b4d504d,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273766571446167323361327a624b4a416f7837456c75694e6a75,1,50,49,disabled,EUR,1,50,Unknown,Unknown,0,Unknown,9999
327378475551504e32736e53713452657176596c4838483531477a,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378475646473362517a45716832526270654966433059555974,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378475641577630637366514876376e76647a6656664d567256,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847555348694c794b4f7a4b3842397730516559724a32456c,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784a694776546357516d6137493845366976457468786d4b7a,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378475651415a7432373764545245424754567343396c77336d,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847576c4935684539514d577249686f6831426e7736773846,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784745547867645973697a674f665165706d466e6a75455871,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847446d6e526758704d6a6f74375472617432584f4c447141,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784745436a49537a74737947443452624b5379413337743155,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474575756377664262783158736d4e38686b6b55426e7577,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784a65387238396c574f764f4c5234305369374b744f6f4b77,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784744544a526d525930786b5a6d5959457a6353414d7a5436,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847456c333662624d4b43556c733035796f6838427675774c,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847456c4c6d6e745362337047504f64716251364e6f32594d,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847497775734d443236316a6b7645575253414a3552733835,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784749786f49385047306b736451626172536a516770685639,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474a38386e62696a72515759474e544a6433564757475567,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
