product1_id,product1,product2_id,product2,similarity
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,1.0
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972740858083,PINK SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972790075619,RED SATIN PJ TROUSERS,1.0
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972790272227,PINK SATIN PJ TROUSERS,1.0
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,1.0
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/7972841193699,RED SATIN ROBE,1.0
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/8988295725397,SAGE GREEN SATIN & LACE TOP,0.8583483669679668
gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8732525721395831
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972740858083,PINK SATIN PJ SHIRT,1.0
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972790075619,RED SATIN PJ TROUSERS,0.9509232646372403
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972790272227,PINK SATIN PJ TROUSERS,0.9509232646372403
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,0.9509232646372403
gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,gid://shopify/Product/7972841193699,RED SATIN ROBE,0.9509232646372403
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,1.0
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972740858083,PINK SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972790075619,RED SATIN PJ TROUSERS,1.0
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972790272227,PINK SATIN PJ TROUSERS,1.0
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,1.0
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/7972841193699,RED SATIN ROBE,1.0
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/8988295725397,SAGE GREEN SATIN & LACE TOP,0.8583483669679668
gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8732525721395831
gid://shopify/Product/7972740858083,PINK SATIN PJ SHIRT,gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972740858083,PINK SATIN PJ SHIRT,gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,1.0
