feature_name,source
variant_other_tamanho cueca:M / XS / Regular,Variant option dummy variable
variant_other_tamanho cueca:M / XS / Tanga,Variant option dummy variable
variant_other_tamanho cueca:S / L,Variant option dummy variable
variant_other_tamanho cueca:S / L / Regular,Variant option dummy variable
variant_other_tamanho cueca:S / L / Tanga,Variant option dummy variable
variant_other_tamanho cueca:S / M,Variant option dummy variable
variant_other_tamanho cueca:S / M / Regular,Variant option dummy variable
variant_other_tamanho cueca:S / M / Tanga,Variant option dummy variable
variant_other_tamanho cueca:S / S,Variant option dummy variable
variant_other_tamanho cueca:S / S / Regular,Variant option dummy variable
variant_other_tamanho cueca:S / S / Tanga,Variant option dummy variable
variant_other_tamanho cueca:S / XL,Variant option dummy variable
variant_other_tamanho cueca:S / XL / Regular,Variant option dummy variable
variant_other_tamanho cueca:S / XL / Tanga,Variant option dummy variable
variant_other_tamanho cueca:S / XS,Variant option dummy variable
variant_other_tamanho cueca:S / XS / Regular,Variant option dummy variable
variant_other_tamanho cueca:S / XS / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XL / L,Variant option dummy variable
variant_other_tamanho cueca:XL / L / Regular,Variant option dummy variable
variant_other_tamanho cueca:XL / L / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XL / M,Variant option dummy variable
variant_other_tamanho cueca:XL / M / Regular,Variant option dummy variable
variant_other_tamanho cueca:XL / M / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XL / S,Variant option dummy variable
variant_other_tamanho cueca:XL / S / Regular,Variant option dummy variable
variant_other_tamanho cueca:XL / S / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XL / XL,Variant option dummy variable
variant_other_tamanho cueca:XL / XL / Regular,Variant option dummy variable
variant_other_tamanho cueca:XL / XL / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XL / XS,Variant option dummy variable
variant_other_tamanho cueca:XL / XS / Regular,Variant option dummy variable
variant_other_tamanho cueca:XL / XS / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XS / L,Variant option dummy variable
variant_other_tamanho cueca:XS / L / Regular,Variant option dummy variable
variant_other_tamanho cueca:XS / L / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XS / M,Variant option dummy variable
variant_other_tamanho cueca:XS / M / Regular,Variant option dummy variable
variant_other_tamanho cueca:XS / M / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XS / S,Variant option dummy variable
variant_other_tamanho cueca:XS / S / Regular,Variant option dummy variable
variant_other_tamanho cueca:XS / S / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XS / XL,Variant option dummy variable
variant_other_tamanho cueca:XS / XL / Regular,Variant option dummy variable
variant_other_tamanho cueca:XS / XL / Tanga,Variant option dummy variable
variant_other_tamanho cueca:XS / XS,Variant option dummy variable
variant_other_tamanho cueca:XS / XS / Regular,Variant option dummy variable
variant_other_tamanho cueca:XS / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:L / L,Variant option dummy variable
variant_other_tamanho top:L / L / Regular,Variant option dummy variable
variant_other_tamanho top:L / L / Tanga,Variant option dummy variable
variant_other_tamanho top:L / M,Variant option dummy variable
variant_other_tamanho top:L / M / Regular,Variant option dummy variable
variant_other_tamanho top:L / M / Tanga,Variant option dummy variable
variant_other_tamanho top:L / S,Variant option dummy variable
variant_other_tamanho top:L / S / Regular,Variant option dummy variable
variant_other_tamanho top:L / S / Tanga,Variant option dummy variable
variant_other_tamanho top:L / XL,Variant option dummy variable
variant_other_tamanho top:L / XL / Regular,Variant option dummy variable
variant_other_tamanho top:L / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:L / XS,Variant option dummy variable
variant_other_tamanho top:L / XS / Regular,Variant option dummy variable
variant_other_tamanho top:L / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:M / L,Variant option dummy variable
variant_other_tamanho top:M / L / Regular,Variant option dummy variable
variant_other_tamanho top:M / L / Tanga,Variant option dummy variable
variant_other_tamanho top:M / M,Variant option dummy variable
variant_other_tamanho top:M / M / Regular,Variant option dummy variable
variant_other_tamanho top:M / M / Tanga,Variant option dummy variable
variant_other_tamanho top:M / S,Variant option dummy variable
variant_other_tamanho top:M / S / Regular,Variant option dummy variable
variant_other_tamanho top:M / S / Tanga,Variant option dummy variable
variant_other_tamanho top:M / XL,Variant option dummy variable
variant_other_tamanho top:M / XL / Regular,Variant option dummy variable
variant_other_tamanho top:M / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:M / XS,Variant option dummy variable
variant_other_tamanho top:M / XS / Regular,Variant option dummy variable
variant_other_tamanho top:M / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:S / L,Variant option dummy variable
variant_other_tamanho top:S / L / Regular,Variant option dummy variable
variant_other_tamanho top:S / L / Tanga,Variant option dummy variable
variant_other_tamanho top:S / M,Variant option dummy variable
variant_other_tamanho top:S / M / Regular,Variant option dummy variable
variant_other_tamanho top:S / M / Tanga,Variant option dummy variable
variant_other_tamanho top:S / S,Variant option dummy variable
variant_other_tamanho top:S / S / Regular,Variant option dummy variable
variant_other_tamanho top:S / S / Tanga,Variant option dummy variable
variant_other_tamanho top:S / XL,Variant option dummy variable
variant_other_tamanho top:S / XL / Regular,Variant option dummy variable
variant_other_tamanho top:S / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:S / XS,Variant option dummy variable
variant_other_tamanho top:S / XS / Regular,Variant option dummy variable
variant_other_tamanho top:S / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / L,Variant option dummy variable
variant_other_tamanho top:XL / L / Regular,Variant option dummy variable
variant_other_tamanho top:XL / L / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / M,Variant option dummy variable
variant_other_tamanho top:XL / M / Regular,Variant option dummy variable
variant_other_tamanho top:XL / M / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / S,Variant option dummy variable
variant_other_tamanho top:XL / S / Regular,Variant option dummy variable
variant_other_tamanho top:XL / S / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / XL,Variant option dummy variable
variant_other_tamanho top:XL / XL / Regular,Variant option dummy variable
variant_other_tamanho top:XL / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / XS,Variant option dummy variable
variant_other_tamanho top:XL / XS / Regular,Variant option dummy variable
variant_other_tamanho top:XL / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / L,Variant option dummy variable
variant_other_tamanho top:XS / L / Regular,Variant option dummy variable
variant_other_tamanho top:XS / L / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / M,Variant option dummy variable
variant_other_tamanho top:XS / M / Regular,Variant option dummy variable
variant_other_tamanho top:XS / M / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / S,Variant option dummy variable
variant_other_tamanho top:XS / S / Regular,Variant option dummy variable
variant_other_tamanho top:XS / S / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / XL,Variant option dummy variable
variant_other_tamanho top:XS / XL / Regular,Variant option dummy variable
variant_other_tamanho top:XS / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / XS,Variant option dummy variable
variant_other_tamanho top:XS / XS / Regular,Variant option dummy variable
variant_other_tamanho top:XS / XS / Tanga,Variant option dummy variable
