source_product_id,recommended_product_id,rank,similarity,source,product_title
gid://shopify/Product/9641399419228,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641399451996,gid://shopify/Product/9641400926556,1,0.8399695592143825,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641400893788,2,0.7609009417055143,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641403482460,3,0.7546436587324133,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641399845212,4,0.6962147306570028,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641403515228,5,0.6582416692016507,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641402663260,6,0.6510970128182028,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641401254236,7,0.6296881535428586,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641400828252,8,0.5969214953160544,similarity,
gid://shopify/Product/9641399451996,gid://shopify/Product/9641404957020,9,0.49483655762501055,similarity,
gid://shopify/Product/9641399451996,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641399845212,gid://shopify/Product/9641400926556,1,0.7179219181780149,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641399451996,2,0.6962147306570028,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641400893788,3,0.678348417204104,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641402663260,4,0.6742359808554111,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641403482460,5,0.6476325546669122,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641403515228,6,0.6138459988647905,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641401254236,7,0.590650064373241,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641400828252,8,0.5672650511798789,similarity,
gid://shopify/Product/9641399845212,gid://shopify/Product/9641404957020,9,0.48767034965736566,similarity,
gid://shopify/Product/9641399845212,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641400828252,gid://shopify/Product/9641400893788,1,0.6259022667329486,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641399451996,2,0.5969214953160544,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641400926556,3,0.5876388622579557,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641403482460,4,0.5716209927231024,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641399845212,5,0.5672650511798789,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641403515228,6,0.5515061928124331,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641402663260,7,0.5483095870490777,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641401254236,8,0.5365790217980854,similarity,
gid://shopify/Product/9641400828252,gid://shopify/Product/9641404957020,9,0.4551000903904957,similarity,
gid://shopify/Product/9641400828252,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641400893788,gid://shopify/Product/9641399451996,1,0.7609009417055143,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641400926556,2,0.7312739303150408,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641403482460,3,0.6886285767869238,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641399845212,4,0.678348417204104,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641403515228,5,0.644590318507137,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641402663260,6,0.6381219701549653,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641400828252,7,0.6259022667329486,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641401254236,8,0.6185523472147131,similarity,
gid://shopify/Product/9641400893788,gid://shopify/Product/9641404957020,9,0.4907728755957802,similarity,
gid://shopify/Product/9641400893788,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641400926556,gid://shopify/Product/9641399451996,1,0.8399695592143825,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641400893788,2,0.7312739303150408,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641403482460,3,0.7262525791187002,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641399845212,4,0.7179219181780149,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641403515228,5,0.6439205906345619,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641402663260,6,0.6373823207793811,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641401254236,7,0.6205915084432134,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641400828252,8,0.5876388622579557,similarity,
gid://shopify/Product/9641400926556,gid://shopify/Product/9641404957020,9,0.49052510811097405,similarity,
gid://shopify/Product/9641400926556,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641401254236,gid://shopify/Product/9641399451996,1,0.6296881535428586,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641400926556,2,0.6205915084432134,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641400893788,3,0.6185523472147131,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641403482460,4,0.5969834974522431,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641399845212,5,0.590650064373241,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641403515228,6,0.5748623430333848,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641402663260,7,0.5674044166343472,similarity,
gid://shopify/Product/9641401254236,gid://shopify/Product/9641400828252,8,0.5365790217980854,similarity,
