feature_name,source
variant_other_tamanho tanga:M / XS,Variant option dummy variable
variant_other_tamanho tanga:S / L,Variant option dummy variable
variant_other_tamanho tanga:S / M,Variant option dummy variable
variant_other_tamanho tanga:S / S,Variant option dummy variable
variant_other_tamanho tanga:S / XL,Variant option dummy variable
variant_other_tamanho tanga:S / XS,Variant option dummy variable
variant_other_tamanho tanga:XL / L,Variant option dummy variable
variant_other_tamanho tanga:XL / M,Variant option dummy variable
variant_other_tamanho tanga:XL / S,Variant option dummy variable
variant_other_tamanho tanga:XL / XL,Variant option dummy variable
variant_other_tamanho tanga:XL / XS,Variant option dummy variable
variant_other_tamanho tanga:XS / L,Variant option dummy variable
variant_other_tamanho tanga:XS / M,Variant option dummy variable
variant_other_tamanho tanga:XS / S,Variant option dummy variable
variant_other_tamanho tanga:XS / XL,Variant option dummy variable
variant_other_tamanho tanga:XS / XS,Variant option dummy variable
variant_other_tamanho top:L / L,Variant option dummy variable
variant_other_tamanho top:L / L / Regular,Variant option dummy variable
variant_other_tamanho top:L / L / Tanga,Variant option dummy variable
variant_other_tamanho top:L / M,Variant option dummy variable
variant_other_tamanho top:L / M / Regular,Variant option dummy variable
variant_other_tamanho top:L / M / Tanga,Variant option dummy variable
variant_other_tamanho top:L / S,Variant option dummy variable
variant_other_tamanho top:L / S / Regular,Variant option dummy variable
variant_other_tamanho top:L / S / Tanga,Variant option dummy variable
variant_other_tamanho top:L / XL,Variant option dummy variable
variant_other_tamanho top:L / XL / Regular,Variant option dummy variable
variant_other_tamanho top:L / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:L / XS,Variant option dummy variable
variant_other_tamanho top:L / XS / Regular,Variant option dummy variable
variant_other_tamanho top:L / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:L / XXS / Regular,Variant option dummy variable
variant_other_tamanho top:L / XXS / Tanga,Variant option dummy variable
variant_other_tamanho top:M / L,Variant option dummy variable
variant_other_tamanho top:M / L / Regular,Variant option dummy variable
variant_other_tamanho top:M / L / Tanga,Variant option dummy variable
variant_other_tamanho top:M / M,Variant option dummy variable
variant_other_tamanho top:M / M / Regular,Variant option dummy variable
variant_other_tamanho top:M / M / Tanga,Variant option dummy variable
variant_other_tamanho top:M / S,Variant option dummy variable
variant_other_tamanho top:M / S / Regular,Variant option dummy variable
variant_other_tamanho top:M / S / Tanga,Variant option dummy variable
variant_other_tamanho top:M / XL,Variant option dummy variable
variant_other_tamanho top:M / XL / Regular,Variant option dummy variable
variant_other_tamanho top:M / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:M / XS,Variant option dummy variable
variant_other_tamanho top:M / XS / Regular,Variant option dummy variable
variant_other_tamanho top:M / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:M / XXS / Regular,Variant option dummy variable
variant_other_tamanho top:M / XXS / Tanga,Variant option dummy variable
variant_other_tamanho top:S / L,Variant option dummy variable
variant_other_tamanho top:S / L / Regular,Variant option dummy variable
variant_other_tamanho top:S / L / Tanga,Variant option dummy variable
variant_other_tamanho top:S / M,Variant option dummy variable
variant_other_tamanho top:S / M / Regular,Variant option dummy variable
variant_other_tamanho top:S / M / Tanga,Variant option dummy variable
variant_other_tamanho top:S / S,Variant option dummy variable
variant_other_tamanho top:S / S / Regular,Variant option dummy variable
variant_other_tamanho top:S / S / Tanga,Variant option dummy variable
variant_other_tamanho top:S / XL,Variant option dummy variable
variant_other_tamanho top:S / XL / Regular,Variant option dummy variable
variant_other_tamanho top:S / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:S / XS,Variant option dummy variable
variant_other_tamanho top:S / XS / Regular,Variant option dummy variable
variant_other_tamanho top:S / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:S / XXS / Regular,Variant option dummy variable
variant_other_tamanho top:S / XXS / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / L,Variant option dummy variable
variant_other_tamanho top:XL / L / Regular,Variant option dummy variable
variant_other_tamanho top:XL / L / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / M,Variant option dummy variable
variant_other_tamanho top:XL / M / Regular,Variant option dummy variable
variant_other_tamanho top:XL / M / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / S,Variant option dummy variable
variant_other_tamanho top:XL / S / Regular,Variant option dummy variable
variant_other_tamanho top:XL / S / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / XL,Variant option dummy variable
variant_other_tamanho top:XL / XL / Regular,Variant option dummy variable
variant_other_tamanho top:XL / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:XL / XS,Variant option dummy variable
variant_other_tamanho top:XL / XS / Regular,Variant option dummy variable
variant_other_tamanho top:XL / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / L,Variant option dummy variable
variant_other_tamanho top:XS / L / Regular,Variant option dummy variable
variant_other_tamanho top:XS / L / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / M,Variant option dummy variable
variant_other_tamanho top:XS / M / Regular,Variant option dummy variable
variant_other_tamanho top:XS / M / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / S,Variant option dummy variable
variant_other_tamanho top:XS / S / Regular,Variant option dummy variable
variant_other_tamanho top:XS / S / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / XL,Variant option dummy variable
variant_other_tamanho top:XS / XL / Regular,Variant option dummy variable
variant_other_tamanho top:XS / XL / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / XS,Variant option dummy variable
variant_other_tamanho top:XS / XS / Regular,Variant option dummy variable
variant_other_tamanho top:XS / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:XS / XXS / Regular,Variant option dummy variable
variant_other_tamanho top:XS / XXS / Tanga,Variant option dummy variable
variant_other_tamanho top:XXS / L / Regular,Variant option dummy variable
variant_other_tamanho top:XXS / L / Tanga,Variant option dummy variable
variant_other_tamanho top:XXS / M / Regular,Variant option dummy variable
variant_other_tamanho top:XXS / M / Tanga,Variant option dummy variable
variant_other_tamanho top:XXS / S / Regular,Variant option dummy variable
variant_other_tamanho top:XXS / S / Tanga,Variant option dummy variable
variant_other_tamanho top:XXS / XS / Regular,Variant option dummy variable
variant_other_tamanho top:XXS / XS / Tanga,Variant option dummy variable
variant_other_tamanho top:XXS / XXS / Regular,Variant option dummy variable
variant_other_tamanho top:XXS / XXS / Tanga,Variant option dummy variable
variant_other_tamanho:12 MESES,Variant option dummy variable
variant_other_tamanho:12 MESES / Amarelo,Variant option dummy variable
variant_other_tamanho:12 MESES / Padrão,Variant option dummy variable
variant_other_tamanho:12 MESES / Terracota,Variant option dummy variable
variant_other_tamanho:24 MESES,Variant option dummy variable
variant_other_tamanho:24 MESES / Amarelo,Variant option dummy variable
variant_other_tamanho:24 MESES / Padrão,Variant option dummy variable
variant_other_tamanho:24 MESES / Terracota,Variant option dummy variable
variant_other_tamanho:48 MESES,Variant option dummy variable
variant_other_tamanho:48 MESES / Amarelo,Variant option dummy variable
variant_other_tamanho:48 MESES / Padrão,Variant option dummy variable
variant_other_tamanho:48 MESES / Terracota,Variant option dummy variable
variant_other_tamanho:CINZA / L,Variant option dummy variable
variant_other_tamanho:CINZA / M,Variant option dummy variable
variant_other_tamanho:CINZA / S,Variant option dummy variable
variant_other_tamanho:L,Variant option dummy variable
variant_other_tamanho:M,Variant option dummy variable
variant_other_tamanho:M/L,Variant option dummy variable
variant_other_tamanho:PRETO / L,Variant option dummy variable
variant_other_tamanho:PRETO / M,Variant option dummy variable
variant_other_tamanho:PRETO / S,Variant option dummy variable
variant_other_tamanho:ROSA / L,Variant option dummy variable
variant_other_tamanho:ROSA / M,Variant option dummy variable
variant_other_tamanho:ROSA / S,Variant option dummy variable
variant_other_tamanho:S,Variant option dummy variable
variant_other_tamanho:S/M,Variant option dummy variable
variant_other_tamanho:XL,Variant option dummy variable
variant_other_tamanho:XS,Variant option dummy variable
variant_other_title:Default Title,Variant option dummy variable
created_year,Time-based features from createdAt timestamp
created_month,Time-based features from createdAt timestamp
created_day,Time-based features from createdAt timestamp
created_hour,Time-based features from createdAt timestamp
days_since_first_product,Time-based features from createdAt timestamp
created_season,Time-based features from createdAt timestamp
is_recent_product,Time-based features from createdAt timestamp
release_quarter_2022Q3,Release quarter features from createdAt timestamp
release_quarter_2022Q4,Release quarter features from createdAt timestamp
release_quarter_2023Q1,Release quarter features from createdAt timestamp
release_quarter_2023Q2,Release quarter features from createdAt timestamp
release_quarter_2023Q3,Release quarter features from createdAt timestamp
release_quarter_2023Q4,Release quarter features from createdAt timestamp
release_quarter_2024Q1,Release quarter features from createdAt timestamp
release_quarter_2024Q2,Release quarter features from createdAt timestamp
release_quarter_2024Q3,Release quarter features from createdAt timestamp
release_quarter_2024Q4,Release quarter features from createdAt timestamp
release_quarter_2025Q1,Release quarter features from createdAt timestamp
description_100,TF-IDF from product descriptions
description_100 algodão,TF-IDF from product descriptions
description_12,TF-IDF from product descriptions
description_12 meses,TF-IDF from product descriptions
description_12meses,TF-IDF from product descriptions
description_12meses 24meses,TF-IDF from product descriptions
description_15x15cm,TF-IDF from product descriptions
description_2020,TF-IDF from product descriptions
description_2020 cueca,TF-IDF from product descriptions
description_2020 soutien,TF-IDF from product descriptions
description_2020 tanga,TF-IDF from product descriptions
description_2022,TF-IDF from product descriptions
description_2022 23,TF-IDF from product descriptions
description_2023,TF-IDF from product descriptions
description_2023 24,TF-IDF from product descriptions
description_2023 tapa,TF-IDF from product descriptions
description_2024,TF-IDF from product descriptions
description_2024 25,TF-IDF from product descriptions
description_2025,TF-IDF from product descriptions
description_2025 biquíni,TF-IDF from product descriptions
description_2025 calções,TF-IDF from product descriptions
description_2025 colecção,TF-IDF from product descriptions
description_2025 colete,TF-IDF from product descriptions
description_2025 coleção,TF-IDF from product descriptions
description_2025 cueca,TF-IDF from product descriptions
description_2025 fato,TF-IDF from product descriptions
description_2025 fita,TF-IDF from product descriptions
description_2025 kimono,TF-IDF from product descriptions
description_2025 mix,TF-IDF from product descriptions
description_2025 máscara,TF-IDF from product descriptions
description_2025 ss,TF-IDF from product descriptions
description_2025 sweatshirt,TF-IDF from product descriptions
description_2025 triquíni,TF-IDF from product descriptions
description_22,TF-IDF from product descriptions
description_22 23,TF-IDF from product descriptions
description_23,TF-IDF from product descriptions
description_23 24,TF-IDF from product descriptions
description_23 crop,TF-IDF from product descriptions
description_23 satin,TF-IDF from product descriptions
description_23 sweatshirt,TF-IDF from product descriptions
description_24,TF-IDF from product descriptions
description_24 25,TF-IDF from product descriptions
description_24 acessórios,TF-IDF from product descriptions
description_24 activewear,TF-IDF from product descriptions
description_24 calças,TF-IDF from product descriptions
description_24 elástico,TF-IDF from product descriptions
description_24 fevereiro,TF-IDF from product descriptions
